"Withdrawal receipt verified","Reçu de rétractation vérifié"
"Withdrawal receipt — verification failed","Reçu de rétractation — vérification échouée"
"Public integrity check — Art. 11a Directive 2011/83/EU","Vérification d'intégrité publique — Art. 11a Directive 2011/83/UE"
"Receipt verified","Reçu vérifié"
"This receipt is cryptographically signed and has not been modified since it was issued by the merchant.","Ce reçu est signé cryptographiquement et n'a pas été modifié depuis son émission par le commerçant."
"Back to my account","Retour à mon compte"
"Integrity hash (SHA-256)","Empreinte d'intégrité (SHA-256)"
"Copy hash","Copier l'empreinte"
"Copy","Copier"
"Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance.","Anyone holding the original receipt email can recompute this hash to confirm the receipt has not been altered. Mismatch means the receipt was modified after issuance."
"This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled.","This page is anti-indexed (X-Robots-Tag: noindex) and rate-limited. Repeated verification attempts from the same IP are throttled."
"Verification failed","Vérification échouée"
"This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists.","This link does not match a valid withdrawal receipt. The link may be incorrect, the receipt may have been revoked, or the verification request was rate-limited. If you copied the link from an email, please try again in a few minutes — or contact us if the problem persists."
"Verify this receipt","Vérifier ce reçu"
"Integrity hash","Empreinte d'intégrité"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Cette empreinte SHA-256 identifie votre rétractation de manière unique. Vous pouvez la vérifier à tout moment via le bouton ci-dessus."
